Reading reference string from: test/1/reference.raw
Reference length: 100000
Reference first: 60.3302, last: 111.202
Finished reading reference string.
Start reading query strings.
Reading query string from: test/1/query_0.raw
Query batch size: 512, length: 2000
Finished reading query strings.
Start normalizing reference string.
Finished normalizing reference string.
Start normalizing query strings.
Finished normalizing query strings.
Normalization throughput: 25.498 Giga samples/second.
Start DTW.
Cost[99]: 651.041931
Cost[100]: 651.365723
Cost[101]: 651.669128
Cost[102]: 644.872864
Cost[103]: 641.817139
Cost[104]: 638.656799
Cost[105]: 659.656372
Cost[106]: 643.381348
Cost[107]: 638.761719
Cost[108]: 657.063049
Cost[109]: 655.577332
Cost[110]: 647.208618
Cost[111]: 642.972168
Cost[112]: 647.293762
Cost[113]: 654.278137
Cost[114]: 650.113831
Cost[115]: 651.340942
Cost[116]: 657.145752
Cost[117]: 656.530701
Cost[118]: 657.893127
Cost[119]: 646.260864
Cost[120]: 656.857605
Cost[121]: 642.473572
Cost[122]: 658.217834
Cost[123]: 643.157715
Cost[124]: 650.224670
Cost[125]: 639.053772
Cost[126]: 646.178589
Cost[127]: 661.102966
Cost[128]: 646.052734
Cost[129]: 665.038757
Cost[130]: 637.062256
Cost[131]: 643.469910
Cost[132]: 642.868958
Cost[133]: 639.950256
Cost[134]: 649.286377
Cost[135]: 645.369690
Cost[136]: 649.932739
Cost[137]: 653.606567
Cost[138]: 653.045044
Cost[139]: 652.330383
Cost[140]: 644.966980
Cost[141]: 641.732788
Cost[142]: 665.321594
Cost[143]: 657.747314
Cost[144]: 668.155334
Cost[145]: 664.176941
Cost[146]: 639.088684
Cost[147]: 650.106750
Cost[148]: 647.266357
Cost[149]: 636.320435
Cost[150]: 651.179260
Cost[151]: 654.052246
Cost[152]: 659.963745
Cost[153]: 637.019165
Cost[154]: 644.301208
Cost[155]: 641.190735
Cost[156]: 639.606323
Cost[157]: 645.442200
Cost[158]: 652.304138
Cost[159]: 655.469910
Cost[160]: 661.182312
Cost[161]: 646.064209
Cost[162]: 645.062866
Cost[163]: 670.903198
Cost[164]: 647.592957
Cost[165]: 661.173584
Cost[166]: 644.451172
Cost[167]: 656.198303
Cost[168]: 669.276062
Cost[169]: 638.647949
Cost[170]: 642.438293
Cost[171]: 656.214783
Cost[172]: 660.562500
Cost[173]: 659.314270
Cost[174]: 656.386658
Cost[175]: 650.859070
Cost[176]: 646.950684
Cost[177]: 636.836670
Cost[178]: 650.430603
Cost[179]: 653.692200
Cost[180]: 646.136597
Cost[181]: 664.099854
Cost[182]: 652.926331
Cost[183]: 651.956421
Cost[184]: 651.581909
Cost[185]: 654.345947
Cost[186]: 649.372559
Cost[187]: 634.776306
Cost[188]: 652.762817
Cost[189]: 655.457581
Cost[190]: 645.191284
Cost[191]: 664.383057
Cost[192]: 649.633972
Cost[193]: 651.759338
Cost[194]: 651.724121
Cost[195]: 653.148132
Cost[196]: 657.997192
Cost[197]: 633.716064
Cost[198]: 653.269348
Cost[199]: 645.312561
Cost[200]: 648.799805
Cost[201]: 662.019897
Cost[202]: 653.379150
Cost[203]: 635.356018
Cost[204]: 654.603943
Cost[205]: 650.464600
Cost[206]: 641.276306
Cost[207]: 659.434265
Cost[208]: 656.218628
Cost[209]: 648.315796
Cost[210]: 656.854370
Cost[211]: 643.197144
Cost[212]: 652.522949
Cost[213]: 650.712036
Cost[214]: 632.896118
Cost[215]: 655.136475
Cost[216]: 650.496643
Cost[217]: 652.696594
Cost[218]: 632.882446
Cost[219]: 655.510803
Cost[220]: 648.298706
Cost[221]: 644.638550
Cost[222]: 650.802673
Cost[223]: 647.368958
Cost[224]: 646.569336
Cost[225]: 629.450012
Cost[226]: 638.655945
Cost[227]: 637.341919
Cost[228]: 659.440430
Cost[229]: 657.177612
Cost[230]: 649.656067
Cost[231]: 650.355164
Cost[232]: 649.842651
Cost[233]: 653.586914
Cost[234]: 653.397461
Cost[235]: 649.930115
Cost[236]: 652.535767
Cost[237]: 651.866699
Cost[238]: 658.076904
Cost[239]: 651.293701
Cost[240]: 654.293091
Cost[241]: 655.852905
Cost[242]: 660.311584
Cost[243]: 656.634460
Cost[244]: 639.625427
Cost[245]: 654.172668
Cost[246]: 646.881042
Cost[247]: 657.817932
Cost[248]: 649.602417
Cost[249]: 644.769897
Cost[250]: 644.123596
Cost[251]: 648.977051
Cost[252]: 648.032837
Cost[253]: 654.265076
Cost[254]: 648.493958
Cost[255]: 653.969055
Cost[256]: 671.630920
Cost[257]: 634.032166
Cost[258]: 641.958191
Cost[259]: 663.078430
Cost[260]: 649.335388
Cost[261]: 654.749817
Cost[262]: 635.693359
Cost[263]: 648.946594
Cost[264]: 649.348450
Cost[265]: 648.167358
Cost[266]: 646.248535
Cost[267]: 650.174622
Cost[268]: 659.194702
Cost[269]: 644.990601
Cost[270]: 647.559143
Cost[271]: 659.134521
Cost[272]: 663.910339
Cost[273]: 657.291016
Cost[274]: 633.700562
Cost[275]: 651.644104
Cost[276]: 644.145447
Cost[277]: 648.196350
Cost[278]: 640.184937
Cost[279]: 655.919861
Cost[280]: 650.029724
Cost[281]: 656.653259
Cost[282]: 631.721375
Cost[283]: 633.539429
Cost[284]: 643.800354
Cost[285]: 658.348633
Cost[286]: 643.521667
Cost[287]: 651.519897
Cost[288]: 657.744080
Cost[289]: 654.145935
Cost[290]: 648.171448
Cost[291]: 657.974731
Cost[292]: 654.358215
Cost[293]: 646.993286
Cost[294]: 662.844421
Cost[295]: 657.224304
Cost[296]: 662.989746
Cost[297]: 649.034668
Cost[298]: 647.011292
Cost[299]: 654.607422
Cost[300]: 658.297363
Cost[301]: 658.330383
Cost[302]: 643.357056
Cost[303]: 663.455811
Cost[304]: 655.110474
Cost[305]: 654.205078
Cost[306]: 637.823303
Cost[307]: 649.337952
Cost[308]: 651.576172
Cost[309]: 655.575745
Cost[310]: 644.639893
Cost[311]: 647.759521
Cost[312]: 654.971985
Cost[313]: 648.991943
Cost[314]: 652.752136
Cost[315]: 656.308167
Cost[316]: 647.300354
Cost[317]: 658.873535
Cost[318]: 657.930298
Cost[319]: 657.669739
Cost[320]: 656.114807
Cost[321]: 655.921570
Cost[322]: 638.168030
Cost[323]: 646.052673
Cost[324]: 657.203979
Cost[325]: 650.964294
Cost[326]: 652.641907
Cost[327]: 645.813660
Cost[328]: 643.707458
Cost[329]: 639.867920
Cost[330]: 658.278809
Cost[331]: 649.485474
Cost[332]: 658.302185
Cost[333]: 656.912048
Cost[334]: 664.426941
Cost[335]: 657.675659
Cost[336]: 640.492981
Cost[337]: 661.444580
Cost[338]: 646.622437
Cost[339]: 637.038574
Cost[340]: 652.048035
Cost[341]: 653.486328
Cost[342]: 651.572266
Cost[343]: 662.645813
Cost[344]: 655.561523
Cost[345]: 645.538696
Cost[346]: 646.270813
Cost[347]: 662.024841
Cost[348]: 641.804504
Cost[349]: 654.723877
Cost[350]: 648.041687
Cost[351]: 656.823608
Cost[352]: 647.548157
Cost[353]: 653.947144
Cost[354]: 659.131775
Cost[355]: 650.177551
Cost[356]: 654.962830
Cost[357]: 638.322205
Cost[358]: 644.696960
Cost[359]: 651.663086
Cost[360]: 651.697083
Cost[361]: 649.317139
Cost[362]: 636.907227
Cost[363]: 644.926086
Cost[364]: 636.829041
Cost[365]: 653.495850
Cost[366]: 656.280273
Cost[367]: 652.611755
Cost[368]: 656.406433
Cost[369]: 666.069580
Cost[370]: 639.880676
Cost[371]: 645.554382
Cost[372]: 655.276794
Cost[373]: 634.674133
Cost[374]: 659.995728
Cost[375]: 641.910278
Cost[376]: 641.168518
Cost[377]: 654.782532
Cost[378]: 657.878906
Cost[379]: 654.628601
Cost[380]: 653.618225
Cost[381]: 650.825195
Cost[382]: 647.203552
Cost[383]: 647.118225
Cost[384]: 645.511902
Cost[385]: 658.080994
Cost[386]: 644.627380
Cost[387]: 634.664124
Cost[388]: 645.133118
Cost[389]: 670.380310
Cost[390]: 642.023682
Cost[391]: 656.382019
Cost[392]: 669.200378
Cost[393]: 635.514771
Cost[394]: 657.903442
Cost[395]: 651.436768
Cost[396]: 655.087769
Cost[397]: 642.787964
Cost[398]: 655.950500
Cost[399]: 662.669128
Cost[400]: 652.094666
Cost[401]: 650.177856
Cost[402]: 643.633545
Cost[403]: 659.657349
Cost[404]: 659.067871
Cost[405]: 645.226990
Cost[406]: 651.427612
Cost[407]: 651.182007
Cost[408]: 652.072998
Cost[409]: 658.352234
Cost[410]: 648.389893
Cost[411]: 649.198486
Cost[412]: 660.263245
Cost[413]: 658.961304
Cost[414]: 664.336304
Cost[415]: 653.905396
Cost[416]: 654.487915
Cost[417]: 655.583923
Cost[418]: 654.181274
Cost[419]: 648.250183
Cost[420]: 649.827820
Cost[421]: 648.295837
Cost[422]: 656.618774
Cost[423]: 655.629761
Cost[424]: 653.478027
Cost[425]: 650.183899
Cost[426]: 658.492371
Cost[427]: 647.268311
Cost[428]: 656.984070
Cost[429]: 649.518433
Cost[430]: 655.132568
Cost[431]: 661.173828
Cost[432]: 651.429260
Cost[433]: 654.279480
Cost[434]: 653.514038
Cost[435]: 645.014526
Cost[436]: 662.585388
Cost[437]: 661.234497
Cost[438]: 640.781189
Cost[439]: 654.209351
Cost[440]: 654.934082
Cost[441]: 646.375244
Cost[442]: 655.194946
Cost[443]: 647.611145
Cost[444]: 655.855957
Cost[445]: 649.522461
Cost[446]: 639.516602
Cost[447]: 650.529175
Cost[448]: 634.745911
Cost[449]: 656.249451
Cost[450]: 651.299255
Cost[451]: 657.114685
Cost[452]: 658.565002
Cost[453]: 654.957703
Cost[454]: 654.199219
Cost[455]: 656.638977
Cost[456]: 645.445984
Cost[457]: 646.157715
Cost[458]: 650.908752
Cost[459]: 646.876221
Cost[460]: 661.616150
Cost[461]: 656.072693
Cost[462]: 647.381165
Cost[463]: 657.079407
Cost[464]: 652.236450
Cost[465]: 665.974365
Cost[466]: 660.009033
Cost[467]: 655.495178
Cost[468]: 652.872253
Cost[469]: 653.679016
Cost[470]: 656.849915
Cost[471]: 649.253174
Cost[472]: 650.324097
Cost[473]: 644.123657
Cost[474]: 654.194031
Cost[475]: 645.919067
Cost[476]: 648.683228
Cost[477]: 651.306152
Cost[478]: 643.827087
Cost[479]: 661.318237
Cost[480]: 653.066772
Cost[481]: 643.080872
Cost[482]: 643.364746
Cost[483]: 637.454285
Cost[484]: 638.255005
Cost[485]: 655.744934
Cost[486]: 664.310364
Cost[487]: 641.987671
Cost[488]: 654.562012
Cost[489]: 655.157288
Cost[490]: 650.049805
Cost[491]: 659.145691
Cost[492]: 651.270752
Cost[493]: 641.533081
Cost[494]: 640.081055
Cost[495]: 641.649475
Cost[496]: 658.307190
Cost[497]: 654.973389
Cost[498]: 640.989685
Cost[499]: 646.773743
Cost[500]: 645.666870
Cost[501]: 653.023621
Cost[502]: 647.459351
Cost[503]: 647.940247
Cost[504]: 643.922058
Cost[505]: 647.157776
Cost[506]: 659.888428
Cost[507]: 643.380920
Cost[508]: 647.718018
Cost[509]: 646.939575
Cost[510]: 642.591125
Cost[511]: 649.747131
Finished DTW.
